#percent: 30
#time num_tuples
0.161595 38
1.125960 73
2.163126 108
3.207916 143
4.236359 178
5.271942 213
6.316339 248
7.348887 283
8.400520 318
9.454254 353
10.478568 388
11.526523 423
12.563239 458
13.633829 493
14.619928 528
15.610064 563
16.671935 598
17.709580 633
18.735002 668
19.774794 703
20.808330 738
21.839664 773
22.924676 808
23.910355 843
24.967820 878
26.017916 913
27.057166 948
28.114913 983
29.235649 1018
30.399830 1053
31.640435 1088
32.896956 1123
34.217066 1158
35.543986 1193
36.953330 1228
38.404896 1263
39.891236 1298
41.430908 1333
43.033438 1368
44.679131 1403
44.680831 1403
45.681682 1403
46.682211 1403
47.682740 1403
48.683912 1403
49.684766 1403
