#percent: 90
#time num_tuples
0.247821 8
1.193940 13
2.218745 18
3.222646 23
4.254697 28
5.273421 33
6.292865 38
7.320609 43
8.331560 48
9.352667 53
10.394471 58
11.398139 63
12.428801 68
13.460865 73
14.465402 78
15.502533 83
16.516683 88
17.538151 93
18.570316 98
19.587192 103
20.609889 108
21.586900 113
22.605152 118
23.622812 123
24.642690 128
25.664343 133
26.701942 138
27.702324 143
28.719645 148
29.757254 153
30.761457 158
31.795450 163
32.816877 168
33.852952 173
34.865097 178
35.917300 183
36.928390 188
37.940886 193
38.969190 198
39.990815 203
