#Variant: no_partition
#Total_inserts percentage_update num_tuples
10000 0 10001
10000 0 10001
10000 0 10001
10000 0 10001
10000 0 10001
10000 10 9199
10000 10 9187
10000 10 9207
10000 10 9208
10000 10 9195
10000 20 8768
10000 20 8716
10000 20 8843
10000 20 8753
10000 20 8754
10000 30 8711
10000 30 8724
10000 30 8823
10000 30 8686
10000 30 8717
10000 40 8982
10000 40 8906
10000 40 8973
10000 40 9062
10000 40 8959
10000 50 9384
10000 50 9345
10000 50 9311
10000 50 9359
10000 50 9333
10000 60 9731
10000 60 9703
10000 60 9725
10000 60 9695
10000 60 9708
10000 70 9926
10000 70 9924
10000 70 9927
10000 70 9931
10000 70 9934
10000 80 9994
10000 80 9998
10000 80 9999
10000 80 9998
10000 80 9998
10000 90 10001
10000 90 10001
10000 90 10001
10000 90 10001
10000 90 10001
