#percent: 0
#time num_tuples
0.124748 53
1.052286 103
2.061865 153
3.080829 203
4.076574 253
5.093955 303
6.106005 353
7.109869 403
8.133190 453
9.126550 503
10.139356 553
11.145073 603
12.167745 653
13.165914 703
14.182422 753
15.168218 803
16.197354 853
17.204647 903
18.198088 953
19.210234 1003
20.230862 1053
21.236560 1103
22.245887 1153
23.255328 1203
24.265812 1253
25.255841 1303
26.290335 1353
27.301254 1403
28.310367 1453
29.319278 1503
30.329351 1553
31.358100 1603
32.348897 1653
33.373075 1703
34.403386 1753
35.417390 1803
36.400005 1853
37.406922 1903
38.452932 1953
39.427969 2003
