#percent: 0
#time num_tuples
1.284397 103
3.487778 203
6.659015 303
10.790489 403
15.565309 503
21.094186 603
27.736743 703
35.054021 803
43.274381 903
52.462288 1003
62.614305 1103
73.699125 1203
85.756221 1303
99.481111 1403
115.329528 1503
131.677592 1603
149.136482 1703
166.249494 1803
185.292373 1903
204.330064 2003
224.210583 2103
245.399213 2203
273.380201 2303
297.767929 2403
322.276516 2503
347.868055 2603
380.191579 2703
407.832074 2803
447.013826 2903
488.428742 3003
530.594322 3103
575.600998 3203
616.205389 3303
650.604860 3403
685.944335 3503
722.538895 3603
760.213824 3703
799.645551 3803
839.707533 3903
880.951281 4003
923.626377 4103
967.480859 4203
1012.626773 4303
1060.297889 4403
1107.885474 4503
1296.860590 4603
1349.123992 4703
1401.286022 4803
1454.465660 4903
1509.725051 5003
