#Variant: Partitioned Storage
#Time storage
6.534601
13.305824
0.261765 54
0.413690 106
0.596017 109
0.792931 109
0.976639 109
1.092344 58
1.202669 58
1.313169 58
1.423463 58
1.534301 58
1.644931 58
1.755840 58
1.866759 58
1.977203 58
2.087493 58
2.198210 58
2.308595 58
2.418777 58
2.538130 58
2.648614 58
2.777690 58
2.887772 58
2.997879 58
3.108219 58
3.218384 58
3.328182 58
3.438238 58
3.548295 58
3.658348 58
3.768637 58
3.878730 58
3.988732 58
4.098723 58
4.208798 58
4.318471 58
4.428611 58
4.538688 58
4.648697 58
4.758696 58
4.868694 58
4.987605 58
5.098260 58
5.208702 58
5.319115 58
5.429691 58
5.540248 58
5.651119 58
5.761739 58
5.872588 58
5.983323 58
6.094048 58
6.204836 58
6.315019 58
6.425678 58
6.533792 58
6.653616 59
6.765292 60
6.877759 61
7.006256 62
7.119233 63
7.232131 64
7.344563 65
7.457156 66
7.569956 67
7.683059 68
7.796335 69
7.910504 70
8.025081 71
8.139059 72
8.253195 73
8.368703 74
8.483659 75
8.606988 76
8.722925 77
8.839165 78
8.955970 81
9.073376 86
9.199172 89
9.342379 91
9.468810 93
9.594544 95
9.722353 97
9.851918 99
9.990074 101
10.119358 103
10.249806 105
10.380933 107
10.512306 109
10.656183 111
10.787463 113
10.918030 115
11.049127 117
11.191847 119
11.324800 121
11.458802 123
11.592565 123
11.729397 124
11.847914 126
11.966675 128
12.086731 130
12.206385 132
12.326357 134
12.446586 136
12.565301 138
12.686629 139
12.825772 137
12.945233 137
13.065291 137
13.185501 137
13.304935 137
13.463781 137
13.618649 137
13.800929 137
14.010078 137
14.205223 137
14.350050 88
14.488998 88
14.637747 88
14.791544 88
14.927577 88
15.062668 88
15.196780 88
15.341291 88
15.476448 88
15.609681 88
15.753603 88
15.903268 88
16.036486 88
16.168559 88
16.299228 88
16.440428 88
16.570704 88
16.688033 88
16.801720 88
16.915479 88
17.028811 88
17.142700 88
17.256550 88
17.379138 88
17.492378 88
17.622005 88
17.735034 88
17.847767 88
17.960447 88
18.073601 88
18.184680 88
18.297758 88
18.411024 88
18.524308 88
18.636921 88
18.750068 88
18.863130 88
18.985743 88
19.099525 88
19.213305 88
19.326975 88
19.440643 88
19.554054 88
19.667675 88
19.781156 88
19.894770 88
20.008763 88
20.122000 88
20.244313 88
20.357699 88
